administrative power,प्रशासकी अधिकार.,,,,,,,,,
administrative regulations,प्रशासकी विनियम.,,,,,,,,,
administrative sanction,प्रशासकी मंजुरी.,,,,,,,,,
administrative system,प्रशासकी प्रणाली.,,,,,,,,,
administrative technique,प्रशासकी तकनीक.,,,,,,,,,
administrative tribunal,प्रशासकी लवाद्‌.,,,,,,,,,
admissibility,ग्राह्मताय (विधी) स्त्री, प्रवेश ग्राह्मताय, स्विकार्यताय स्त्री, प्रवेश क्षमताय, भरती तांक.,,,,,
admissible,ग्राह्य, स्विकार्य.,,,,,,,,
admissible expenditure,ग्राह्य खर्च, स्विकार्य खर्च.,,,,,,,,
admission,कबुली स्त्री, स्विकार पू, प्रवेश पू, भरती स्त्री, रीग स्त्री.,,,,,
admission charge,प्रवेश आकारणी, प्रवेश प्रभार.,,,,,,,,
admission committee,प्रवेश समिती.,,,,,,,,,
admission fee,प्रवेश शुल्क, प्रवेश फी.,,,,,,,,
admission form,प्रवेश अजींपत्र, प्रवेश आवेदन पत्र.,,,,,,,,
admission test,प्रवेश चांचणी परिक्षा.,,,,,,,,,
admit vt,प्रवेश दिविप, रीग दिवप, भरती करून घेवप.,,,,,,,
admit card,प्रवेश पत्रिका, रीग पत्रिका, प्रवेश दाखलो.,,,,,,,
admittance,प्रवेश हक्क, प्रवेश माध्यम, प्रवेशन अ.,,,,,,,
admitted,स्विकृत, दाखलकृत.,,,,,,,,
admonish v¢,तापोबप, शिटकावप, दटावप, तंबी दिविप, सल्लो दिवप, उत्तेजन दिवप, कर्तन्याक जागोवप.,,,
admonition,तंबी स्त्री, दटावणी स्त्री, तापोषणी स्त्री, शिटकावणी स्त्री, सल्लो पू, समज स्त्री.,,,,
adolescence,पौंगडावस्था स्त्री.,,,,,,,,,
adolescent,पौगंड, किशोर.,,,,,,,,
adopt vz,आपणावप, अंगीकारप, वेंचून आपणावप.,,,,,,,
adoptee,दत्तक पू/स्त्री, पोसकें अ.,,,,,,,,
adopter,दत्तक-आपणावणेकार (कान्न), पोसकें-आपणावणेकार (कान्न), अंगीकारपी पू/स्त्री, आपणावपी ,,,,,,
adoption,दत्तकन अ, पोसकें घेणें अ, स्विकार पू, अंगिकार पु.,,,,,,
adult,सज्ञान, परिपक्व, पूर्णवाडीत.,,,,,,,
adulterant,भेसळकार (कान्न),,,,,,,,,
adulteration, भेसळ स्त्री, अपमिश्रण अः अपभरसणी स्त्री.,,,,,,,,
adultery,व्यभिचार पू, जारकर्म अ.,,,,,,,,
adult franchise,सज्ञान मताधिकार, प्रौढ मताधिकार.,,,,,,,,
adult suffrage,प्रौढ मताधिकार, सज्ञान मताधिकार.,,,,,,,,
ad valorem,मोला प्रमाणें, मोलानुसार, यथामूल्य.,,,,,,,
ad valorem duty,यथामूल्य आकारणी, यथामूल्य शुल्क.,,,,,,,,
"advance,, vt",आगावू, अग्रीम (वेतन बी) आगावू रक्कम फुडें व्हरप, फुडें काडप (सैन्य बी), सामकारावप (कल्पना बी).,,,,,,
advance booking,आगावू आरक्षण, आगावू बुकींग.,,,,,,,,
advance copy,आगावू प्रत, अग्रीम प्रत.,,,,,,,,
advanced increment,आगावू वृद्धी, आगावू वेतनवाड.,,,,,,,,
advancement,उदरगत स्त्री, सुदारणा स्त्री, प्रगती स्त्री.,,,,,,,
advance pay,आगावू वेतन, आगावू पगार.,,,,,,,,
advance payment,आगावू फारीकणी, आगावू मोबदलो.,,,,,,,,
advance sample,अग्रीम नमुनो.,,,,,,,,,
advantage,लाब पू, फायदो पू, आदाव पू, अनुकूल स्थिती.,,,,,,
adverse,प्रतिकूल.,,,,,,,,,
adverse entry,प्रतिकूल नोंद.,,,,,,,,,
adverse party,प्रतिपक्ष पृ/स्त्री.,,,,,,,,,
adverse remarks,प्रतिकूल शेरे.,,,,,,,,,
adverse report,प्रतिकूल अहवाल.,,,,,,,,,
advertise vt,जायरात करप, जायरात दिवप.,,,,,,,,
advertised sale,जायरातीत विकरी, जायरातकृत विकरी, जायराती वरवीं विकरी.,,,,,,,
advertised tender,जायरातकृत निविदा, जायरातीत निविदा.,,,,,,,,
advertisement,जायरात स्त्री, विज्ञापन अ.,,,,,,,,
advertiser,जायरातदार पु/स्त्री.,,,,,,,,,
advertising,जायरातकी स्त्री.,,,,,,,,,
advertising rates,जायरात दर.,,,,,,,,,
advertising space,जायरात सुवात.,,,,,,,,,
advice,उपदेस पू, सल्लो पू, मत अ, बुट्द स्त्री, मसलत स्त्री.,,,,,
adviceote,मसलत चिटारो, मसलत शेरो.,,,,,,,,
advice of dispatch,धाडपाची जाणोवणी.,,,,,,,,,
advice of payment,फारीकणी जाणोवणी.,,,,,,,,,
advise vt,उपदेस करप, सल्लो दिवप,बुद्धि दिवप.,,,,,,,
"advisory,",हितकारी सल्लो, मसलत स्त्री. उपदेशकारी, सल्लोदायी (क्षमता).,,,,,,,
advisory arbitration,सल्लोदितो लवाद, सल्लोदायी मध्यस्थीकरण, सल्लागार लवाद, सल्लागार मध्यस्थ.,,,,,,
advisory board,सल्लागार मंडळ, सल्लोदिणें मंडळ.,,,,,,,,
advisory comumittee,सल्लागार समिती, सल्लोदिणी समिती.,,,,,,,,
advisory council,सल्लागार परिमंडळ, सल्लोदिणें परिमंडळ.,,,,,,,,
advisory panel,सल्लागार तज्ञमंडळ.,,,,,,,,,
advocacy,वकिली स्त्री, आदोगाशी स्त्री, समर्थन अ, मुखीक समर्थन.,,,,,,
"advocate, vt",वकील पु/स्त्री, कायदो पंडीत, आदोगाद पु /स्त्री,) अधिवक्तो (ती), बाजू मांडप, समर्थन करप.,,,,
aerial,हवाई, विहंगम (देखाव बी).,,,,,,,,
aerial photo,हवाई छायाचित्र, हवाई फोटो.,,,,,,,,
aerial survey,हवाई सर्वेक्षण.,,,,,,,,,
aerodrome,हवाई उड्डाणतळ, विमानतळ पु.,,,,,,,,
aerogramme,हवाईपत्र अ.,,,,,,,,,
aeronautical,विमानशास्त्रीय, वायुमानशास्त्रीय.,,,,,,,,
aeroplane,विमान अ.,,,,,,,,,
aesthetic sense,सौंदर्यनदर स्त्री, सौंदर्य शास्त्रीय नदर.,,,,,,,,
affairspl,वेव्हार पू, कारभार पू, कार्य अ भानगडी स्त्रीभो.,,,,,,,
affect v,प्रभाव घालप, परिणाम करप.,,,,,,,,
affidavit,प्रतिज्ञापत्र अ, सोपूतपत्र अ.,,,,,,,,
affiliate vz,सम्बद्‌धीत करप.,,,,,,,,,
affiliated college,सम्बद्‌ध म्हाविद्यालय.,,,,,,,,,
affiliating university,सम्बद्धक विद्यापीठ.,,,,,,,,,
affiliation,सम्बद्धन अ, संबंदन अ.,,,,,,,,
affinity,लागसाण स्त्री, जवळीक स्त्री.,,,,,,,,
affirmation,हयकारणी स्त्री, खात्रीयुक्त स्विकृताय.,,,,,,,,
affirmative,हयकारी, सकारात्मक.,,,,,,,,
affirmative action,सकारात्मक कृती, हयकारी कृती.,,,,,,,,
affirmative recruitment,सकारात्मक भरती.,,,,,,,,,
affix vt,दकोवप, दसोवप, चिकटावप, लावप (म्होर बी).,,,,,,
afford vt,परवडप, पुटवप.,,,,,,,,
afforestation,वनीकरण अ.,,,,,,,,,
affranchise vt,मताधिकार प्रदान करप.,,,,,,,,,
aforesaid,पूर्वकथीत, उपरोक्त, उपर्युक्त.,,,,,,,
afresh adv,परतून, नव्यान, पुनरपी.,,,,,,,
afternoon,स्त्री.,,,,,,,,,
afterwards adv,उपरान्त, मागीर.,,,,,,,,
against prep,आड, विरुद्ध.,,,,,,,,
agen,पिराय स्त्री, वय अ.,,,,,,,,
age certificate,पिराय दाखलो.,,,,,,,,,
age entry,पिराय नोंद.,,,,,,,,,
age of suffrage,मताधिकार पिराय.,,,,,,,,,
ageism,पिराय पूर्वग्रह.,,,,,,,,,
age limit,पिराय शीम, पिराय बंधन.,,,,,,,,
agency,एजन्सी स्त्री, अभिकारिणी स्त्री, सेवादिणी संस्था, कारकसंस्था स्त्री अभिकरण अ, अभिकृती स्त्री, दलाली स्त्री, कारकता स्त्री अधिकृत प्रतिनिधित्व एकक.,,,
agency commission,कारकी आकारणी, एजन्सी कमिशन.,,,,,,,,
agenda,वावरावळ स्त्री, विशयवळेरी स्त्री.,,,,,,,,
agent,कारक पु /स्त्री,) एजंट प (स्त्री, वळू, अभिकरतो (ती), दलाल /स्त्री.,,,,,
age of retirement,सेवानिवृत्त पिराय.,,,,,,,,,
age of superannuation,अधिवार्शिकी पिराय.,,,,,,,,,
aggrandizement,व्हडव्हिकावणी स्त्री, थोरावणी स्त्री.,,,,,,,,
aggravation,जडावणी (पिडा बी) स्त्री, पात्शेवणी स्त्री, प्रखरणी स्त्री.,,,,,,,
aggravation of disability,अपंगूळताय-जडावणी स्त्री.,,,,,,,,,
aggregate,कुल्लीं, एकठावीत ॥ एकठावणी स्त्री.,,,,,,,,
aggragate pay,एकठावीत वेतन.,,,,,,,,,
aggregation,एकठावण अ.,,,,,,,,,
aggrieved,पिडीत, अवमानीत.,,,,,,,,
agitation,खुंदळावणी स्त्री, खुबळावणी स्त्री, चळवळ स्त्री, आंदोलन अ.,,,,,,
agitator,खुंदळावणो (णी), खुबळावणो (णी), आंदोलक पु /स्त्री) चळवळकार (कान्न).,,,,,,,
AGM (annual general meeting),वर्सुकी साबार बसका (ए. जी. एम्‌. ).,,,,,,,,,
agmark,एंगमार्क अ.,,,,,,,,,
agrarian,शेतभूंयविशयक, शेतभूंय संबंदी, शेतजमनीचें.,,,,,,,
agrarian law,शेतभूंय कायदो, शेतजमीन कायदो.,,,,,,,,
agrarian policy,शेतभूंय धोरण.,,,,,,,,,
agrarian reforms,शेतभूंय सुधार.,,,,,,,,,
agreed,सहमत, मान्य.,,,,,,,,
agreement g,सहमती स्त्री, कबलात स्त्री, करार पृ.,,,,,,,
agreement form,करारपत्र अ, कबलातपत्र अ, सहमतीपत्र अ.,,,,,,,
agree with,वांगडा सहमत, सांगाता सहमत.,,,,,,,,
agricultural economics,शेतकी अर्थशास्त्र, कृषी अर्थशास्त्र.,,,,,,,,
agricultural holding,शेतजमीन धारण.,,,,,,,,,
agricultural inputs,कृषी निवेश, शेतकी निवेश, कृषी रीगवण (म्हायती निधी बी).,,,,,,,
agricultural labour,कृषी कामगारवर्ग, शेतकी कामगार, कृषी श्रमीक, कृषी वावर, शेतकी वावर.,,,,,
